   score gates | sem evi mcp con sch cal wf eff | team
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02941
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02507
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-03006
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02587
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02565
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02418
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h201-02984
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02700
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02586
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02841
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02735
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02909
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02929
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02664
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h210-02513
    0.00    50 | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 | h209-02923
